Authors	Title	Journal	Abstract	Print Year	DOI	Taxon	Order	Genus (or number of)	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	Data type (amplicon, microsat, sanger, WGS, RAD, transcriptome, exome)	Spot-checked
MacKay, Ron; Reid, Sarah; William, Robert; Hill, Nicholas M.	GENETIC EVIDENCE OF INTROGRESSIVE INVASION OF THE GLOBALLY IMPERILED SCIRPUS LONGII BY THE WEEDY SCIRPUS CYPERINUS (CYPERACEAE) IN NOVA SCOTIA	RHODORA	Random Amplified Polymorphic DNA (RAPD) markers were used to determine whether populations of the global rarity Scirpus longii (Long's bulrush) are vulnerable to loss by introgression of genetic material from the weedy S. cyperinus (woolgrass). Shoots from 104 Scirpus plants were obtained from 10 sites in the watershed of the lower Medway River in Nova Scotia, Canada. A putative site of introgression (a seasonally flooded bog) was divided into five subsites: one large stand of vegetative plants and four patches of annually flowering plants clustered at one end of the site. Thirty-five dominant DNA markers were found among individuals from all sites and eight species-specific markers were identified for each of the two species. Nineteen different combinations of species-specific markers were present in the 39 individuals from the site of introgression, and, as expected for introgression, there was strong correlation (r = -0.80, p < 0.0001) between the numbers of the two types of markers. The vegetative and flowering subsites had distinctive hybrid indices: 0.76 and 0.27 of S. longii genome, respectively. The former indicates that S. cyperinus contributed about one-quarter of the genetic material of the plants from the subsite that accounts for more than 99% of the Scirpus at the site of introgression. Hybrid indices also show evidence of introgression in two of the 12 plants obtained at one of the presumed S. longii sites. Our results indicate that gene flow has occurred between S. cyperinus and S. longii at two S. longii populations, hybrid plants are capable of sexual reproduction, and Long's bulrush in Nova Scotia is vulnerable to loss by introgression. Conservation at the landscape level is needed to suppress anthropogenic disturbances that might allow S. cyperinus to threaten the genetic integrity of S. longii.	2010	10.3119/08-22.1	Plants	Poales	Scirpus	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, trees	RAPD (35)	TRUE
Wu, G. Albert; Prochnik, Simon; Jenkins, Jerry; Salse, Jerome; Hellsten, Uffe; Murat, Florent; Perrier, Xavier; Ruiz, Manuel; Scalabrin, Simone; Terol, Javier; Takita, Marco Aurelio; Labadie, Karine; Poulain, Julie; Couloux, Arnaud; Jabbari, Kamel; Cattonaro, Federica; Del Fabbro, Cristian; Pinosio, Sara; Zuccolo, Andrea; Chapman, Jarrod; Grimwood, Jane; Tadeo, Francisco R.; Estornell, Leandro H.; Munoz-Sanz, Juan V.; Ibanez, Victoria; Herrero-Ortega, Amparo; Aleza, Pablo; Perez-Perez, Julian; Ramon, Daniel; Brunel, Dominique; Luro, Francois; Chen, Chunxian; Farmerie, William G.; Desany, Brian; Kodira, Chinnappa; Mohiuddin, Mohammed; Harkins, Tim; Fredrikson, Karin; Burns, Paul; Lomsadze, Alexandre; Borodovsky, Mark; Reforgiato, Giuseppe; Freitas-Astua, Juliana; Quetier, Francis; Navarro, Luis; Roose, Mikeal; Wincker, Patrick; Schmutz, Jeremy; Morgante, Michele; Machado, Marcos Antonio; Talon, Manuel; Jaillon, Olivier; Ollitrault, Patrick; Gmitter, Frederick; Rokhsar, Daniel	Sequencing of diverse mandarin, pummelo and orange genomes reveals complex history of admixture during citrus domestication	NATURE BIOTECHNOLOGY	Cultivated citrus are selections from, or hybrids of, wild progenitor species whose identities and contributions to citrus domestication remain controversial. Here we sequence and compare citrus genomes-a high-quality reference haploid clementine genome and mandarin, pummelo, sweet-orange and sour-orange genomes- and show that cultivated types derive from two progenitor species. Although cultivated pummelos represent selections from one progenitor species, Citrus maxima, cultivated mandarins are introgressions of C. maxima into the ancestral mandarin species Citrus reticulata. The most widely cultivated citrus, sweet orange, is the offspring of previously admixed individuals, but sour orange is an F1 hybrid of pure C. maxima and C. reticulata parents, thus implying that wild mandarins were part of the early breeding germplasm. A Chinese wild 'mandarin' diverges substantially from C. reticulata, thus suggesting the possibility of other unrecognized wild citrus species. Understanding citrus phylogeny through genome analysis clarifies taxonomic relationships and facilitates sequence-directed genetic improvement.	2014	10.1038/nbt.2906	Plants	Sapindales	Citrus	TRUE	TRUE	no stats of interest	TRUE	HMM	WGS	TRUE
Gabriel Segarra-Moragues, Jose; Villar, Luis; Lopez, Josefa; Perez-Collazos, Ernesto; Catalan, Pilar	A new Pyrenean hybrid Cirsium (Asteraceae) as revealed by morphological and molecular analyses	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	A new nothosubspecies Cirsium x vivantii is described after a molecular and morphological characterization of eight individuals collected in two separate valleys of the French central Pyrenees. Both hypervariable Amplified Fragment Length Polymorphism (AFLP) markers and nuclear rDNA (ITS) and plastid (trnL-F, TRNT-L) DNA sequences were analysed. The profiles of these hybrid samples were compared to those of 43 individuals belonging to their presumed parental taxa C. carniolicurn ssp. rufescens and C. palustre. A total of 133 AFLP bands were scored from three primer-pair combinations. All 130 AFLP bands that amplified in the hybrid samples were present in either C. carniolicurn ssp. rufescens, C. palustre or both taxa, supporting the participation of these plant genomes in the resulting hybrids. Several Additive Polymorphic Sites (APS) detected in the ITS sequences of the hybrid samples also confirmed their derived origins from ribotypes of the two parental taxa. The lack of exclusive AFLP markers and the nonconcerted evolution of rDNA polymorphisms towards either of the parental ribotypes indicated their recent origin. Plastid trnT-L sequences were used to identify C. palustre as the maternal parent of six of these hybrid individuals; either parent could have acted as the plastid genome donor for the other two individuals. The morphological study revealed that all hybrid individuals were morphologically intermediate between their parents showing largely lobed and less spiny basal leaves as in C. carniolicurn ssp. rufescens and decurrent leaf bases and pinkish corollas as in C. palustre. (c) 2007 The Linnean Society of London, Botanical Journal of the Linnean Society, 2007, 154, 421-434.	2007	10.1111/j.1095-8339.2007.00668.x	Plants	Asterales	Cirsium	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, AFLP	AFLP (110), Sanger (2)	TRUE
Meirmans, Patrick G.; Lamothe, Manuel; Gros-Louis, Marie-Claude; Khasa, Damase; Perinet, Pierre; Bousquet, Jean; Isabel, Nathalie	COMPLEX PATTERNS OF HYBRIDIZATION BETWEEN EXOTIC AND NATIVE NORTH AMERICAN POPLAR SPECIES	AMERICAN JOURNAL OF BOTANY	Premise of the study: Poplars and their hybrids are seen as important candidates for bioenergy initiatives. However, many concerns have been raised about large-scale plantations of new poplar cultivars. The deployment of such plants with novel traits brings the risk of potential spread of novel genome regions (including exotic genes, transgenes, or other heritable modifications) into natural populations of related species. The possibility of introgression is especially high in poplars because reproductive barriers between species are weak. Knowledge of the frequency of hybridization between cultivated trees and natural populations is one important step in the risk-assessment process. Methods: We studied the rate of spontaneous hybridization from two sexually mature poplar plantations into adjacent natural populations of Populus deltoides and P. balsamifera. The two plantations, both in eastern Canada, contain many different complex hybrid clones with components from exotic species, mostly P. nigra, P. trichocarpa, and P. maximowiczii. We analyzed 12 species-specific single nucleotide polymorphisms from six different genes in 5373 offspring sampled from the natural populations. Results: Contributions from all three exotics were found in the offspring, confirming low reproductive barriers among poplar species in these sections. The frequency of hybrid offspring varied among pollen donors, recipient populations, and years. Conclusions: The remarkably high rate of hybridization that was found in the smallest natural population sampled suggests that small peripheral populations carry a higher risk of introgression. These results could be used as a starting point for developing regulatory guidelines for the introduction of plants with novel traits.	2010	10.3732/ajb.0900271	Plants	Malpighiales	Populus	TRUE	TRUE	no stats of interest	TRUE	sequence similarity	microarray	TRUE
Havananda, Tee; Brummer, E. Charles; Doyle, Jeff J.	COMPLEX PATTERNS OF AUTOPOLYPLOID EVOLUTION IN ALFALFA AND ALLIES (MEDICAGO SATIVA; LEGUMINOSAE)	AMERICAN JOURNAL OF BOTANY	Premise of the study: Although there is growing evidence that autopolyploidy is a widespread and important evolutionary phenomenon, it has received less attention than allopolyploidy. Medicago sativa comprises several diploid and autopolyploid taxa, including autotetraploid cultivated alfalfa, and affords an opportunity to elucidate the evolutionary history of a morphologically and genetically complex autopolyploid system. Methods: Phylogenies and haplotype networks were constructed from two chloroplast noncoding regions (rpl20-rps12 and trnS-trnG spacers) across seven diploid and polyploid infraspecific taxa of M. sativa and five additional closely related Medicago species, and genetic differentiation was estimated. Key results: The two most prominent M. sativa autopolyploids have contrasting evolutionary histories. Chloroplast data support a simple autopolyploid origin of subsp. sativa (alfalfa) from diploid subsp. caerulea, from which it is distinguishable in several quantitative characters. In contrast, morphologically identical diploid and autopolyploid cytotypes of subsp. falcata were found to possess very different chloroplast haplotypes, suggesting past introgression from M. prostrata into the polyploid. Despite the presence of hybrids between tetraploid subspecies falcata and sativa, there was little evidence of introgression of chloroplast genomes from either subspecies into the other. Conclusions: Autopolyploid evolution in M. sativa is complicated and has followed very different paths in different subspecific taxa. The potential exists for gene flow in virtually all combinations of subspecies both within and between ploidies, yet despite the existence of hybrids, morphologically and genetically distinctive subspecies persist.	2011	10.3732/ajb.1000318	Plants	Fabales	Medicago	TRUE	TRUE	no stats of interest	TRUE	trees, sequence similarity	Sanger (2 genes)	TRUE
Nakamura, Ikuo; Rai, Bhuwan; Takahashi, Hiroko; Kato, Kenji; Sato, Yo-ichiro; Komatsuda, Takao	Aegilops section Sitopsis species contains the introgressive PolA1 gene with a closer relationship to that of Hordeum than Triticum-Aegilops species	BREEDING SCIENCE	The section Sitopsis in the genus Aegilops includes five species.. Ae. speltoides, Ae. longissima, Ae. sharonensis, Ae. searsii, and Ae. bicornis, which share the SS genome. Although extensive molecular studies have indicated Ae. speltoides as a donor of BB or GG genome to polyploid wheat species, the precise relationships among SS, B B, and GG genomes remain unclear. PolA1 is a single-copy nuclear gene encoding the largest subunit of RNA polymerase I. Highly polymorphic PolA1 exon 20 sequences were analyzed for 11 Triticum-Aegilops, 13 Hordeum and three related species. Phylogenetic analyses of the PolA1 gene showed that Triticum-Aegilops and Hordeum species were distinctly separated into two clades. Two related species, Secale cereale and Dasypyrum villosum, were grouped into Triticum and Hordeum clades, respectively. Interestingly, seven accessions of the Sitopsis species were clustered into the Hordeum clade whereas two accessions belonged to the Triticum clade. In contrast, all accessions of Sitopsis species shared the same haplotype of plastid PSID sequences with Triticum-Aegilops species. This inconsistency in phylogeny between nuclear and cytoplasmic sequences suggested that the Sitopsis species probably originated through introgressive hybridization between ancestral species of Triticum-Aegilops and Hordeum.	2009	10.1270/jsbbs.59.602	Plants	Poales	Aegilops	TRUE	TRUE	no stats of interest	TRUE	trees, sequence similarity	Sanger (1 gene)	TRUE
Nitta, Joel H.; Ebihara, Atsushi; Ito, Motomi	RETICULATE EVOLUTION IN THE CREPIDOMANES MINUTUM SPECIES COMPLEX (HYMENOPHYLLACEAE)	AMERICAN JOURNAL OF BOTANY	Premise of the Study: Hybridization is an important mechanism of speciation in plants and often results in complexes that comprise multiple sexual diploids and their hybrid offspring. However, the intricacy of these systems has prevented a thorough understanding of many groups. The Crepidomanes minutum species complex (Hymenophyllaceae) is a widely distributed, morphologically variable fern species complex. Although prior reports of apogamy and polyploidy suggest hybridization, it has never been the focus of a phylogenetic study. Methods: Morphology, nuclear (gapCp), and chloroplast (rbcL) DNA sequences, cytology, field observation, and spore counts were used to infer phylogeny and trace hybrid origins. Key Results: The C. minutum species complex is composed of at least three major clades: the African clade, clade 1 (East Asia and the Pacific), and clade 2 (Southeast Asia and the South Pacific). Clades 1 and 2 differ strikingly in morphological variation (uniform in clade 1 vs. highly variable in clade 2) and occurrence of hybrids (rare in clade 1 vs. frequent in clade 2). Apogamy and polyploidy were confirmed as likely mechanisms of hybrid stabilization in clade 2. Despite the large genetic distance between clades 1 and 2, several specimens were observed with gapCp sequences from both; diploid genome size and sexual reproduction indicate maintenance of genetic diversity via introgression or incomplete lineage sorting, rather than ongoing hybridization, in these specimens. Conclusions: The C. minutum species complex is a reticulate network including multiple diploid lineages and their stabilized hybrid crosses. Additional sampling focused on reproductive mode and ploidy level is needed to delimit diploid species and hybrids.	2011	10.3732/ajb.1000484	Plants	Hymenophyllales	Crepidomanes	TRUE	TRUE	no stats of interest	TRUE	trees, sequence similarity	Sanger (2 genes)	TRUE
Mason-Gamer, Roberta J.; Burns, Melissa M.; Naum, Marianna	Phylogenetic relationships and reticulation among Asian Elymus (Poaceae) allotetraploids: Analyses of three nuclear gene trees	MOLECULAR PHYLOGENETICS AND EVOLUTION	This phylogenetic study focuses on a subset of the species in Elymus-specifically, the endemic Asian tetraploids presumed to combine the St genome from Pseudoroegneria with the Y genome from an unknown donor. The primary goals were to (1) determine whether the St and Y genomes are derived from phylogenetically distinct donors; (2) identify the closest relative, and potentially the likely donor, of the Y genome; and (3) interpret variation among StStYY species in terms of multiple origins and/or introgression. The goals were addressed using phylogenetic analyses of sequences from three low-copy nuclear genes: phosphoenolpyruvate carboxylase, beta-amylase, and granule-bound starch synthase I. Data sets include 16 StStYY individuals representing nine species, along with a broad sample of representatives from most of the monogenomic (i.e., non-allopolyploid) genera in the tribe. To briefly summarize the results: (1) the data clearly support an allopolyploid origin for the Asian tetraploids, involving two distinct donors; (2) the Y genome was contributed by a single donor, or multiple closely-related donors; (3) the phylogenetic position of the Elymus Y genome varies among the three trees and its position is not strongly supported, so the identity of the donor remains a mystery; and (4) conflicts among the gene trees with regard to the St-genome sequences suggest introgression involving both Elymus and Pseudoroegneria. (C) 2009 Published by Elsevier Inc.	2010	10.1016/j.ympev.2009.10.002	Plants	Poales	Elymus	TRUE	TRUE	no stats of interest	TRUE	trees	Sanger (3 genes)	TRUE
Gobert, V.; Moja, S.; Taberlet, P.; Wink, M.	Heterogeneity of three molecular data partition phylogenies of mints related to M. x piperita (Mentha; Lamiaceae)	PLANT BIOLOGY	Phylogenetic reconstructions with molecular tools are now widely used, thanks to advances in IPCIR and sequencing technologies. The choice of the molecular target still remains a problem because too few comparative data are available. This is particularly true for hybrid taxa, where differential introgression of genome parts leads to incongruity between data sets. We have studied the potential of three data partitions to reconstruct the phylogeny of mints related to M. x piperita. These included nuclear DNA (ITS), chloroplast DNA (non-coding regions tmL intron, intergenic spacers trnL-trnF, and psbA-trnH), and AFLIP and ISSR, markers. The taxonomic sampling was composed of hybrids, diploid and polyploid genomes. Since the genealogy of cultivated mint hybrids is known, they represent a model group to compare the usefulness of various molecular markers for phylogeny inference. Incongruities between ITS, chloroplast DNA, and AFLIP-ISSR phylogenetic trees were recorded, although DNA fingerprinting data were congruent with morphological classification. Evidence of chloroplast capture events was obtained for M. x piperita. Direct sequencing of ITS led to biased results because of the existence of pseuclogenes. Sequencing of cloned ITS further failed to provide evidence of the existence of the two parental copy types for M. x piperita, a sterile hybrid that has had no opportunity for concerted evolution of ITS copies. AFLP-ISSIR data clustered M. x piperita with the parent that had the largest genome. This study sheds light on differential of introgression of different genome regions in mint hybrids.	2006	10.1055/s-2006-924043	Plants	Lamiales	Mentha	TRUE	TRUE	no stats of interest	TRUE	trees	Sanger, AFLP	TRUE
Wu, Guohong Albert; Terol, Javier; Ibanez, Victoria; Lopez-Garcia, Antonio; Perez-Roman, Estela; Borreda, Carles; Domingo, Concha; Tadeo, Francisco R. .; Carbonell-Caballero, Jose; Alonso, Roberto; Curk, Franck; Du, Dongliang; Ollitrault, Patrick; Roose, Mikeal L.; Dopazo, Joaquin; Gmitter, Frederick G., Jr.; Rokhsar, Daniel S.; Talon, Manuel	Genomics of the origin and evolution of Citrus	NATURE	The genus Citrus, comprising some of the most widely cultivated fruit crops worldwide, includes an uncertain number of species. Here we describe ten natural citrus species, using genomic, phylogenetic and biogeographic analyses of 60 accessions representing diverse citrus germ plasms, and propose that citrus diversified during the late Miocene epoch through a rapid southeast Asian radiation that correlates with a marked weakening of the monsoons. A second radiation enabled by migration across the Wallace line gave rise to the Australian limes in the early Pliocene epoch. Further identification and analyses of hybrids and admixed genomes provides insights into the genealogy of major commercial cultivars of citrus. Among mandarins and sweet orange, we find an extensive network of relatedness that illuminates the domestication of these groups. Widespread pummelo admixture among these mandarins and its correlation with fruit size and acidity suggests a plausible role of pummelo introgression in the selection of palatable mandarins. This work provides a new evolutionary framework for the genus Citrus.	2018	10.1038/nature25447	Plants	Sapindales	Citrus	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, trees, STRUCTURE	WGS	TRUE
Stoelting, Kai N.; Nipper, Rick; Lindtke, Dorothea; Caseys, Celine; Waeber, Stephan; Castiglione, Stefano; Lexer, Christian	Genomic scan for single nucleotide polymorphisms reveals patterns of divergence and gene flow between ecologically divergent species	MOLECULAR ECOLOGY	Recent advances in population genomics have triggered great interest in the genomic landscape of divergence in taxa with porous species boundaries. One important obstable of previous studies of this topic was the low genomic coverage achieved. This issue can now be overcome by the use of next generation or short-read DNA-sequencing approaches capable of assaying many thousands of single nucleotide polymorphisms (SNPs) in divergent species. We have scanned the porous genomes of Populus alba and Populus tremula, two ecologically divergent hybridizing forest trees, using >38 000 SNPs assayed by restriction site associated DNA (RAD) sequencing. Windowed analyses indicate great variation in genetic divergence (e.g. the proportion of fixed SNPs) between species, and these results are unlikely to be strongly biased by genomic features of the Populus trichocarpa reference genome used for SNP calling. Divergence estimates were significantly autocorrelated (P < 0.01; Moran's I up to 0.6) along 11 of 19 chromosomes. Many of these autocorrelations involved low divergence blocks, thus suggesting that allele sharing was caused by recurrent gene flow rather than shared ancestral polymorphism. A conspicuous low divergence block of three megabases was detected on chromosome XIX, recently put forward as an incipient sex chromosome in Populus, and was largely congruent with introgression of mapped microsatellites in two natural hybrid zones (N > 400). Our results help explain the origin of the genomic mosaic seen in these taxa with porous genomes and suggest rampant introgression or extensive among-species conservation of an incipient plant sex chromosome. RAD sequencing holds great promise for detecting patterns of divergence and gene flow in highly divergent hybridizing species.	2013	10.1111/mec.12011	Plants	Malpighiales	Populus	TRUE	TRUE	no stats of interest	TRUE	STRUCTURE, INTROGRESS,	RAD (38000 loci), microsattelites	TRUE
Flatberg, KI; Thingsgaard, K; Sastad, SM	Interploidal gene flow and introgression in bryophytes: Sphagnum girgensohnii x Sphagnum russowii, a case of spontaneous neotriploidy	JOURNAL OF BRYOLOGY	Hybrid zones between female sporophyte-bearing haploid Sphagnum girgensohnii and male allodiploid S. russowii were studied. The existence of hybrids was initially hypothesized based on incidence of conspicuously large sporophytes in S. girgensohnii in the presence of male S. russowii. Measurements of nuclear DNA content, morphology and isozymes provide the first evidence of spontaneous hybridization across ploidal levels in bryophytes. Viable spores from the hybrid capsules yielded triploid protonemata and juvenile gametophores in culture. Isozyme profiles of the triploid gametophores displayed unbalanced heterozygous patterns containing two alleles. As S. russowii is an allodiploid species with S. girgensohnii and S. rubellum as progenitors, isozyme banding patterns of the triploids are interpreted as consisting of a single allele copy from the S. rubellum genome in S. russowii, and two copies of another allele at the same locus inherited from S. girgensohnii. The triploid sporophytes can be considered as F-2 hybrids formed by introgression. The allotriploid gametophores are formed through diplospory or syndiploidy in the hybrid capsules. Comparison of hybrid sporophyte morphology to S. girgensohnii and S. russowii confirmed that hybrid capsules are larger and with an abnormally swollen sporophyte foot. The spore sizes of the hybrid capsules were significantly larger than spores from normal, intraspecific S. girgensohnii capsules. The percentage of germinated spores was <5% in cultures from hybrid sporophytes, which is much lower than in intraspecific sporophytes. The new knowledge opens the way for re-evaluation of polyploid evolution in bryophytes with emphasis on gametic non-reduction, introgression and two-step models of polyploid formation.	2006	10.1179/174328206X90459	Plants	Sphagnales	Sphagnum	TRUE	TRUE	no stats of interest	TRUE	sequence similarity, morphology	isozymes	TRUE
Senerchia, Natacha; Felber, Francois; North, Beatrice; Sarr, Anouk; Guadagnuolo, Roberto; Parisod, Christian	Differential introgression and reorganization of retrotransposons in hybrid zones between wild wheats	MOLECULAR ECOLOGY	The maintenance of species integrity despite pervasive hybridization is ruled by the interplay between reproductive barriers. Endogenous postzygotic isolation will shape the patterns of introgression in hybrid zones, leading to variable outcomes depending on the genetic mechanism involved. Here, we analysed experimental and natural hybrid populations of Aegilops geniculata and Aegilops triuncialis to examine the genetics of species boundaries in the face of gene flow. Because long-terminal repeat retrotransposons (LTR-RTs) showing differential evolutionary trajectories are probably to affect hybrid dysgenesis and reproductive isolation between these wild wheat species, we addressed the impact of LTR-RTs in shaping introgression between them. Experimental settings involving artificial sympatry and enforced crossings quantified strong, but incomplete reproductive isolation, and highlighted asymmetrical endogenous postzygotic isolation between the two species. Natural hybrid zones located in the northern Golan Heights were analysed using plastid DNA, amplified fragment length polymorphisms (AFLP) marking random sequences, and sequence-specific amplified polymorphisms (SSAP) tracking insertions from six LTR-RT families. This analysis demonstrated asymmetrical introgression and genome reorganization. In comparison with random sequences and quiescent LTR-RTs, those LTR-RTs predicted to be activated following conflicting interactions in hybrids revealed differential introgression across the hybrid zones. As also reported for synthetic F1 hybrids, such LTRRTs were specifically reorganized in the genomes of viable hybrids, confirming that conflicts between selfish LTR-RTs may represent key incompatibilities shaping species boundaries and fostering long-term species integrity in the face of gene flow.	2016	10.1111/mec.13515	Plants	Poales	Aegilops	TRUE	TRUE	no stats of interest	TRUE	STRUCTURE, clines	AFLP, Sanger	TRUE
Krajmerova, D.; Paule, L.; Zhelev, P.; Volekova, M.; Evtimov, I.; Gagov, V.; Gomory, D.	Natural hybridization in eastern-Mediterranean firs: The case of Abies borisii-regis	PLANT BIOSYSTEMS	The genus Abies is represented in southern Balkans by A. alba, A. cephalonica, and A. borisii-regis. To infer the status of southern-Balkans firs, as well as the extent and patterns of introgression within this taxonomical complex, we analyzed genetic variation patterns of 29 indigenous fir populations in Bulgaria, Macedonia, Greece, and Calabria using a combination of maternally and biparentally inherited markers. Three mitochondrial lineages were observed, one comprising Calabrian populations and two distributed in the Balkans, coinciding with A. alba and A. cephalonica. The boundary between lineages is sharp; only two populations containing a mixture of haplotypes were found. Bayesian analysis of population structure based on seven nuclear microsatellite (nSSR) loci revealed the existence of two clusters whose proportions exhibited a latitudinal cline with a width of 2.3 degrees (approximate to 255 km). Populations in the center of the latitudinal cline exhibit the most symmetrical, the flattest, and the broadest distributions of cluster proportions within individual tree genomes. A neighbor-net network reflects the cline resulting from the Bayesiananalysis. The observed variation patterns are not consistent with the hypothesis of A. borisii-regis as a monophyletic taxon or a stabilized hybridogenous species resulted from ancient hybridization; the taxon rather is a product of recent introgression.	2016	10.1080/11263504.2015.1011723	Plants	Pinales	Abies	TRUE	TRUE	no stats of interest	TRUE	STRUCTURE, clines, trees	Sanger (5 genes)	TRUE
Aeschbacher, Simon; Selby, Jessica P.; Willis, John H.; Coop, Graham	Population-genomic inference of the strength and timing of selection against gene flow	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	The interplay of divergent selection and gene flow is key to understanding how populations adapt to local environments and how new species form. Here, we use DNA polymorphism data and genome-wide variation in recombination rate to jointly infer the strength and timing of selection, as well as the baseline level of gene flow under various demographic scenarios. We model how divergent selection leads to a genome-wide negative correlation between recombination rate and genetic differentiation among populations. Our theory shows that the selection density (i.e., the selection coefficient per base pair) is a key parameter underlying this relationship. We then develop a procedure for parameter estimation that accounts for the confounding effect of background selection. Applying this method to two datasets from Mimulus guttatus, we infer a strong signal of adaptive divergence in the face of gene flow between populations growing on and off phytotoxic serpentine soils. However, the genome-wide intensity of this selection is not exceptional compared with what M. guttatus populations may typically experience when adapting to local conditions. We also find that selection against genome-wide introgression from the selfing sister species M. nasutus has acted to maintain a barrier between these two species over at least the last 250 ky. Our study provides a theoretical framework for linking genome-wide patterns of divergence and recombination with the underlying evolutionary mechanisms that drive this differentiation.	2017	10.1073/pnas.1616755114	Plants	Lamiales	Mimulus	TRUE	TRUE	no stats of interest	TRUE	demography	WGS	TRUE
Kolarcik, Vladislav; Zozomova-Lihova, Judita; Ducar, Erik; Martonfi, Pavol	Evolutionary significance of hybridization in Onosma (Boraginaceae): analyses of stabilized hemisexual odd polyploids and recent sterile hybrids	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY	Interspecific hybridization is an important evolutionary force promoting plant speciation. In the genus Onosma, one of three main evolutionary lineages presumably evolved by hybrid speciation. The assumed hybrid lineage (Heterotricha) consists of two species complexes with bimodal karyotypes containing different numbers of large (L) and small (S) chromosomes, the tetraploid Onosma pseudoarenaria (2n = 12 L + 14S) and the triploid Onosma arenaria (2n = 12 L + 8S). The latter represents a rare case of hemisexual, asymmetrically compensating allopolyploids. Representatives of the other two lineages of the genus, Haplotricha (2n = 12 L) and Asterotricha (2n = 14S), have been considered to be the ancestral taxa of O. pseudoarenaria and O. arenaria, although this has yet to be investigated critically. In the present study, we examined genetic [amplified fragment length polymorphism (AFLP), internal transcribed spacer (ITS) , and chloroplast (cp)DNA)], reproductive (pollen viability and seed production) and cytogenetic (chromosome counts, genome size assessment) patterns to resolve the hypothesized allopolyploid formations in the Heterotricha group, single or polytopic allopolyploid origins, as well as ongoing interspecific gene flow as one piece of evidence for understanding past hybrid speciation events in the genus. Discordant patterns in maternally inherited cpDNA (Heterotricha accessions bearing the haplotypes related to asterotrichous species) and the nuclear ITS and AFLP markers (Heterotricha clustering with haplotrichous Onosma fastigiata), as well as karyological features, support the hybrid origin of the stabilized Heterotricha lineage. Genetic variation that is both large and geographically correlated indicates multiple origins of Heterotricha allopolyploids or, less likely, a single origin with recurring introgression from the progenitor species. The nuclear markers and cytogenetic features also provide evidence for the ongoing hybridization between O. arenaria and Onosma echioides (2n = 14S), which gives rise to sterile triploids of 2n = 6 L + 15S. We contrast the two cases of triploids with LLS (hemisexual O. arenaria from the stabilized Heterotricha lineage) and LSS (recent sterile hybrids) karyotypes, which could help to understand the mechanisms ensuring the establishment and reproductive fitness of the odd allopolyploids in Onosma. (c) 2014 The Linnean Society of London, Biological Journal of the Linnean Society, 2014, 112, 89-107.	2014	10.1111/bij.12270	Plants	Boraginales	Onosma	TRUE	TRUE	no stats of interest	TRUE	trees, STRUCTURE	AFLP, Sanger	TRUE
Vega, Yesenia; Marques, Isabel; Castro, Silvia; Loureiro, Joao	Outcomes of Extensive Hybridization and Introgression in Epidendrum (Orchidaceae): Can We Rely on Species Boundaries?	PLOS ONE	Hybridization has the potential to contribute to phenotypic and genetic variation and can be a major evolutionary mechanism. However, when hybridization is extensive it can also lead to the blurring of species boundaries and the emergence of cryptic species (i.e., two or more species not distinguishable morphologically). In this study, we address this hypothesis in Epidendrum, the largest Neotropical genus of orchids where hybridization is apparently so common that it may explain the high levels of morphological diversity found. Nonetheless, this hypothesis is mostly based on the intermediacy of morphological characters and intermediacy by itself is not a proof of hybridization. Therefore, in this study, we first assessed the existence of hybrids using cpDNA and AFLP data gathered from a large-scale sampling comprising 1038 plants of three species of Epidendrum (E. calanthum, E. cochlidium and E. schistochilum). Subsequently, a Bayesian assignment of individuals into different genetic classes (pure species, F1, F2 or backcross generations) revealed that hybrid genotypes were prevalent in all sympatric populations. In most cases, parental species were not assigned as pure individuals, rather consisting in backcrossed genotypes or F1 hybrids. We also found that reproductive barriers are apparently very weak in Epidendrum because the three species largely overlapped in their flowering periods and interspecific crosses always produced viable seeds. Further, hybridization contributed to enhance floral variability, genome size and reproductive success since we found that these traits were always higher in hybrid classes (F1, F2 and backcrosses) than in pure parental species, and offer an explanation for the blurring of species boundaries in this genus of orchids. We hypothesize that these natural hybrids possess an evolutionary advantage, which may explain the high rates of cryptic species observed in this genus.	2013	10.1371/journal.pone.0080662	Plants	Asparagales	Epidendrum	TRUE	TRUE	no stats of interest	TRUE	NEWHYBRIDS, morphology	Sanger, AFLP	TRUE
