P1	P2	P3	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	1.329 x 10-2	70.227	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	2.601 x 10-3	18.494	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	4.568 x 10-3	15.711	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	5.54 x 10-4	10.539	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	7.024 x 10-3	37.483	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	5.435 x 10-3	46.161	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	1.309 x 10-2	70.628	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-1.173 x 10-2	6.292x 10-4	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-1.830 x 10-2	2.948x 10-3	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-5.726 x 10-3	-47.099	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-1.665 x 10-2	-70.227	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-2.658 x 10-3	-18.494	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-5.153 x 10-3	-15.711	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-5.565 x 10-3	-46.161	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-1.629 x 10-2	-70.628	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	5.701 x 10-2	38.707	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	4.154 x 10-3	103.184	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	8.925 x 10-3	47.137	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	4.604 x 10-3	78.326	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	3.805 x 10-3	22.824	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	4.925 x 10-3	102.869	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	8.498 x 10-3	38.8	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	5.756 x 10-3	90.67	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-5.262 x 10-3	-38.707	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-4.154 x 10-3	-103.184	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-8.457 x 10-3	-47.137	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-4.604 x 10-3	-78.326	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-1.976 x 10-3	-15.202	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	8.09 x 10-4	26.39	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-4.25 x 10-4	-3.578	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	1.261 x 10-3	30.165	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-3.388 x 10-3	-22.824	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-4.919 x 10-3	-102.869	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-7.831 x 10-3	-38.8	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-5.749 x 10-3	-90.67	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	1.931 x 10-3	15.202	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-8.08 x 10-4	-26.39	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-4.17 x 10-4	3.578	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	fd	-1.261 x 10-3	-30.165	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0352	2.801	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0383	3.0243	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0934	5.6636	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0942	5.6708	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	-0.0438	-3.9995	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	-0.0439	-4.1196	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0978	7.3088	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0875	4.8996	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0838	4.6413	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0807	4.0373	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.3841	7.0115	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0754	4.941	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.3805	6.9114	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0819	4.4119	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0691	4.4521	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.089	6.4954	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0911	5.4154	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.3994	7.2557	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.3898	7.0944	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0804	4.2023	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0825	4.373	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0855	4.4916	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0697	3.4342	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0048	0.3993	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0037	0.3169	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0029	0.2536	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0025	0.2141	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.004	0.33	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0047	0.4232	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0095	0.781	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0101	0.8257	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0047	0.428	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.005	0.4292	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0095	0.8231	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0045	0.3859	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0045	0.3898	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0034	0.289	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.005	0.4264	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0101	0.8423	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0137	1.138	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0046	0.3826	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0077	0.6534	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0069	0.5901	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0032	0.2925	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0047	0.1325	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.009	0.2692	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0744	5.4648	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0752	5.509	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0695	4.9563	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0692	5.0064	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0767	5.5539	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0751	5.4733	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0739	5.4466	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0746	5.4958	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0675	4.8413	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0703	5.0636	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0461	3.5924	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0464	3.5892	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0717	5.1469	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0711	5.0939	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0939	7.1346	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0942	7.1433	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0688	4.9772	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0688	4.9599	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0759	5.3998	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0764	5.4177	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0735	5.3392	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.074	5.4059	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.1007	7.6911	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.1007	7.7091	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0982	7.4945	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0977	7.4344	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
Neurospera tetrasperma	Neurospera tetrasperma	Neurospera hispaniola	Ascomycetes	Sordariomycetes	D	0.0752	5.4898	WGS	10.1101/gr.197244.115	DP	6Feb21	(Table S5 multiple strains)	specific configurations	no	Z			
