Species_1 (P1)	Species_2 (P2)	Species_3 (P3)	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Geospiza fortis_M	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.064	3x10-46	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza fuliginosa_S	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.064	3x10-52	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza fuliginosa_Z	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.067	2x10-60	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_W	Geospiza difficilis_D	Geospiza difficilis_P	Chordata	Aves	D	-0.005	1	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_W	Certhidea pallidus_Z	Geospiza difficilis_P	Chordata	Aves	D	-0.156	<1x10-325	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_W	Certhidea heliobates_I	Geospiza difficilis_P	Chordata	Aves	D	-0.133	2x10-236	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_W	Certhidea psittacula_P	Geospiza difficilis_P	Chordata	Aves	D	-0.136	2x10-262	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_W	Certhidea parvulus_Z	Geospiza difficilis_P	Chordata	Aves	D	-0.136	4x10-265	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_W	Certhidea pauper_F	Geospiza difficilis_P	Chordata	Aves	D	-0.139	9x10-260	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza magnirostris_G	Geospiza conirostris_G	Chordata	Aves	D	-0.037	5x10-47	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza scandens_M	Geospiza conirostris_E	Chordata	Aves	D	-0.04	8x10-17	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza difficilis_G	Geospiza difficilis_P	Chordata	Aves	D	0.033	7x10-43	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza difficilis_G	Geospiza difficilis_P	Chordata	Aves	D	0.052	3x10-87	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_G	Geospiza difficilis_P	Chordata	Aves	D	0.056	1x10-141	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza scandens_M	Geospiza difficilis_G	Geospiza difficilis_P	Chordata	Aves	D	0.05	6x10-85	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza fortis_M	Geospiza difficilis_G	Geospiza difficilis_P	Chordata	Aves	D	0.015	7x10-09	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Geospiza fuliginosa_S	Geospiza difficilis_P	Chordata	Aves	D	-0.014	4x10-08	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Geospiza fuliginosa_Z	Geospiza difficilis_P	Chordata	Aves	D	-0.018	1x10-17	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.051	5x10-32	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Geospiza difficilis_D	Geospiza difficilis_P	Chordata	Aves	D	0.048	8x10-29	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Certhidea pallidus_Z	Geospiza difficilis_P	Chordata	Aves	D	-0.114	<1x10-325	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Certhidea heliobates_I	Geospiza difficilis_P	Chordata	Aves	D	-0.089	2x10-203	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Certhidea psittacula_P	Geospiza difficilis_P	Chordata	Aves	D	-0.093	5x10-243	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Certhidea parvulus_Z	Geospiza difficilis_P	Chordata	Aves	D	-0.092	9x10-262	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Certhidea pauper_F	Geospiza difficilis_P	Chordata	Aves	D	-0.096	2x10-243	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza conirostris_E	Chordata	Aves	D	-0.093	3x10-196	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza magnirostris_G	Chordata	Aves	D	-0.092	3x10-190	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza conirostris_G	Chordata	Aves	D	-0.094	2x10-204	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza scandens_M	Chordata	Aves	D	-0.092	1x10-189	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza difficilis_G	Chordata	Aves	D	-0.093	7x10-189	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza fortis_M	Chordata	Aves	D	-0.092	4x10-188	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza fuliginosa_S	Chordata	Aves	D	-0.093	1x10-189	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza fuliginosa_Z	Chordata	Aves	D	-0.092	8x10-193	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza difficilis_W	Chordata	Aves	D	-0.096	1x10-210	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza difficilis_D	Chordata	Aves	D	-0.095	1x10-202	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Certhidea pallidus_Z	Chordata	Aves	D	-0.082	3x10-138	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Certhidea heliobates_I	Chordata	Aves	D	-0.09	2x10-170	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Certhidea psittacula_P	Chordata	Aves	D	-0.09	6x10-172	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Certhidea parvulus_Z	Chordata	Aves	D	-0.09	2x10-168	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Certhidea pauper_F	Chordata	Aves	D	-0.089	2x10-171	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza difficilis_P	Chordata	Aves	D	-0.088	5x10-167	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza difficilis_S	Chordata	Aves	D	-0.089	1x10-171	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Geospiza difficilis_F	Chordata	Aves	D	-0.09	3x10-177	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Pinaroloxias inornata_C	Chordata	Aves	D	-0.093	2x10-190	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_L	Certhidea olivacea_S	Pinaroloxias crassirostris_Z	Chordata	Aves	D	-0.088	1x10-168	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza conirostris_E	Chordata	Aves	D	-0.093	2x10-194	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza magnirostris_G	Chordata	Aves	D	-0.092	1x10-191	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza conirostris_G	Chordata	Aves	D	-0.097	3x10-215	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza scandens_M	Chordata	Aves	D	-0.093	1x10-189	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza difficilis_G	Chordata	Aves	D	-0.093	5x10-191	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza fortis_M	Chordata	Aves	D	-0.093	2x10-190	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza fuliginosa_S	Chordata	Aves	D	-0.093	2x10-190	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza fuliginosa_Z	Chordata	Aves	D	-0.092	3x10-190	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza difficilis_W	Chordata	Aves	D	-0.096	1x10-209	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza difficilis_D	Chordata	Aves	D	-0.095	1x10-200	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Certhidea pallidus_Z	Chordata	Aves	D	-0.081	4x10-138	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Certhidea heliobates_I	Chordata	Aves	D	-0.089	7x10-170	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Certhidea psittacula_P	Chordata	Aves	D	-0.089	2x10-171	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Certhidea parvulus_Z	Chordata	Aves	D	-0.088	2x10-165	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Certhidea pauper_F	Chordata	Aves	D	-0.089	2x10-169	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza difficilis_P	Chordata	Aves	D	-0.088	5x10-166	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza difficilis_S	Chordata	Aves	D	-0.089	1x10-170	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Geospiza difficilis_F	Chordata	Aves	D	-0.09	2x10-176	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Pinaroloxias inornata_C	Chordata	Aves	D	-0.094	5x10-194	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Certhidea fusca_E	Certhidea olivacea_S	Pinaroloxias crassirostris_Z	Chordata	Aves	D	-0.088	1x10-166	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza conirostris_G	Certhidea pallidus_Z	Chordata	Aves	D	0.11	4x10-209	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza conirostris_G	Certhidea pallidus_Z	Chordata	Aves	D	0.118	4x10-229	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza scandens_M	Certhidea pallidus_Z	Chordata	Aves	D	-0.124	2x10-267	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_G	Certhidea pallidus_Z	Chordata	Aves	D	-0.085	2x10-119	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fortis_M	Certhidea pallidus_Z	Chordata	Aves	D	-0.087	2x10-126	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_S	Certhidea pallidus_Z	Chordata	Aves	D	-0.072	2x10-83	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_Z	Certhidea pallidus_Z	Chordata	Aves	D	-0.066	1x10-67	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_W	Certhidea pallidus_Z	Chordata	Aves	D	-0.116	2x10-232	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_D	Certhidea pallidus_Z	Chordata	Aves	D	-0.114	4x10-220	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza conirostris_G	Certhidea heliobates_I	Chordata	Aves	D	0.085	3x10-119	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza conirostris_G	Certhidea heliobates_I	Chordata	Aves	D	0.097	6x10-171	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza scandens_M	Certhidea heliobates_I	Chordata	Aves	D	-0.107	8x10-233	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_G	Certhidea heliobates_I	Chordata	Aves	D	-0.059	4x10-53	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fortis_M	Certhidea heliobates_I	Chordata	Aves	D	-0.065	8x10-70	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_S	Certhidea heliobates_I	Chordata	Aves	D	-0.048	8x10-34	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_Z	Certhidea heliobates_I	Chordata	Aves	D	-0.042	4x10-26	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_W	Certhidea heliobates_I	Chordata	Aves	D	-0.098	3x10-154	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_D	Certhidea heliobates_I	Chordata	Aves	D	-0.096	3x10-152	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza conirostris_G	Certhidea psittacula_P	Chordata	Aves	D	0.128	6x10-244	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza conirostris_G	Certhidea psittacula_P	Chordata	Aves	D	0.134	2x10-250	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza scandens_M	Certhidea psittacula_P	Chordata	Aves	D	-0.142	4x10-300	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_G	Certhidea psittacula_P	Chordata	Aves	D	-0.099	3x10-135	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fortis_M	Certhidea psittacula_P	Chordata	Aves	D	-0.102	2x10-150	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_S	Certhidea psittacula_P	Chordata	Aves	D	-0.087	2x10-103	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_Z	Certhidea psittacula_P	Chordata	Aves	D	-0.081	3x10-87	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_W	Certhidea psittacula_P	Chordata	Aves	D	-0.133	2x10-260	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_D	Certhidea psittacula_P	Chordata	Aves	D	-0.133	3x10-254	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza conirostris_G	Certhidea parvulus_Z	Chordata	Aves	D	0.093	9x10-164	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza conirostris_G	Certhidea parvulus_Z	Chordata	Aves	D	0.105	2x10-203	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza scandens_M	Certhidea parvulus_Z	Chordata	Aves	D	-0.111	7x10-243	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_G	Certhidea parvulus_Z	Chordata	Aves	D	-0.061	6x10-52	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fortis_M	Certhidea parvulus_Z	Chordata	Aves	D	-0.067	2x10-72	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_S	Certhidea parvulus_Z	Chordata	Aves	D	-0.049	6x10-34	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_Z	Certhidea parvulus_Z	Chordata	Aves	D	-0.043	3x10-24	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_W	Certhidea parvulus_Z	Chordata	Aves	D	-0.103	9x10-181	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_D	Certhidea parvulus_Z	Chordata	Aves	D	-0.102	1x10-164	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_E	Geospiza conirostris_G	Certhidea pauper_F	Chordata	Aves	D	0.095	2x10-172	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza conirostris_G	Certhidea pauper_F	Chordata	Aves	D	0.106	6x10-198	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza scandens_M	Certhidea pauper_F	Chordata	Aves	D	-0.115	2x10-252	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_G	Certhidea pauper_F	Chordata	Aves	D	-0.067	3x10-76	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fortis_M	Certhidea pauper_F	Chordata	Aves	D	-0.072	1x10-93	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_S	Certhidea pauper_F	Chordata	Aves	D	-0.055	3x10-52	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza fuliginosa_Z	Certhidea pauper_F	Chordata	Aves	D	-0.049	1x10-39	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_W	Certhidea pauper_F	Chordata	Aves	D	-0.106	1x10-198	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_D	Certhidea pauper_F	Chordata	Aves	D	-0.105	4x10-190	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Gypsophila annamensis	Gypsophila calcicola	Napothera crispifrons	Chordata	Aves	D	0.012	2.75	WGS	10.1111/mec.15718	DP	1Mar21	Table 1	specific configurations	no	Z			
Gypsophila annamensis	Gypsophila calcicola	Napothera crispifrons	Chordata	Aves	D	0.002	0.53	WGS	10.1111/mec.15718	DP	1Mar21	Table 1	specific configurations	no	Z			
Gypsophila annamensis	Gypsophila calcicola	Napothera crispifrons	Chordata	Aves	D	-0.007	-1.38	WGS	10.1111/mec.15718	DP	1Mar21	Table 1	specific configurations	no	Z			
Napothera crispifrons	Napothera crispifrons	Napothera crispifrons	Chordata	Aves	D	0.001	0.16	WGS	10.1111/mec.15718	DP	1Mar21	Table 1	specific configurations	no	Z			
Buthraupis aureodorsalis	Buthraupis aureodorsalis	Buthraupis eximia	Chordata	Aves	D	0.004	0.952	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Buthraupis riefferii	Buthraupis riefferii	Buthraupis riefferii	Chordata	Aves	D	0.126	0	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Buthraupis riefferii	Buthraupis riefferii	Buthraupis riefferii	Chordata	Aves	D	0.016	0.242	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Grallaria przewalskii	Grallaria przewalskii	Grallaria hypoleuca	Chordata	Aves	D	0.085	0	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Grallaria squamigera	Grallaria squamigera	Grallaria squamigera	Chordata	Aves	D	0.038	0.01	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Grallaria squamigera	Grallaria squamigera	Grallaria squamigera	Chordata	Aves	D	0.203	0	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Hemispingus xanthophthalmus	Hemispingus xanthophthalmus	Hemispingus verticalis	Chordata	Aves	D	0.032	0.01	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Hemispingus frontalis	Hemispingus frontalis	Hemispingus frontalis	Chordata	Aves	D	0.065	0	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Iridosornis reinhardti	Iridosornis reinhardti	Iridosornis rufivertex	Chordata	Aves	D	-0.014	0.667	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Iridosornis reinhardti	Iridosornis reinhardti	Iridosornis rufivertex	Chordata	Aves	D	0.04	0.257	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
Leptopogon taczanowskii	Leptopogon taczanowskii	Leptopogon rufipectus	Chordata	Aves	D	0.131	0.089	RAD	https://doi.org/10.1111/evo.13251	AD		Table S2	specific configurations	no	P			
