P1	P2	P3	phylum	class	metric	value	significant (Y/N;p-value;z-stat)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time	Recombination(+,0,-)	Sex chromosomes (+;0;-)	mating system	Ne difference?
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.001	0.253	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0017	0.098	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0003	0.361	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.192	0.042	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.179	0.099	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.191	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.179	0.008	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.176	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.179	0.079	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.171	0.025	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.186	0.048	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.083	0.319	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.063	0.35	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.135	0.256	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.074	0.329	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.483	0.025	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.232	0.238	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	0.483	0.0231	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	0.232	0.218	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	0.434	0.0211	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	0.183	0.253	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	0.213	0.098	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	D	0.076	0.361	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Gasterosteus aculeatus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.4561	-35.392	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.4249	-37.615	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.1477	-9.92	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.109	-8.373	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.1757	-10.232	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.0802	-6.065	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatusus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.4138	-24.814	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatusus	Gasterosteus aculeatusus	Gasterosteus nipponicus	Chordata	Actinopterygii	D	-0.4047	-33.613	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatusus	Gasterosteus aculeatusus	Gasterosteus aculeatus	Chordata	Actinopterygii	D	0.2744	23.938	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus aculeatusus	Gasterosteus aculeatusus	Gasterosteus aculeatusus	Chordata	Actinopterygii	D	0.2862	30.628	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus nipponicus	Gasterosteus nipponicus	Gasterosteus aculeatusus	Chordata	Actinopterygii	D	-0.3593	-24.709	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus nipponicus	Gasterosteus nipponicus	Gasterosteus aculeatusus	Chordata	Actinopterygii	D	-0.3479	-38.293	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus nipponicus	Gasterosteus nipponicus	Gasterosteus aculeatus	Chordata	Actinopterygii	D	-0.3894	-34.867	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Gasterosteus nipponicus	Gasterosteus nipponicus	Gasterosteus aculeatusus	Chordata	Actinopterygii	D	-0.3239	-25.07	WGS	10.1111/jeb.13664	DP	03/01/2021	table s2	multiple configurations	no	Z					
Pungitius pungitius	Pungitius pungitius	Pungitius sinensis	Chordata	Actinopterygii	f4	−6.41E-4	5.91E-14	WGS	10.1098/rstb.2019.0548	DP	4/31/21	results, section c, 4th paragraph	multiple configurations	no	P					
Pungitius pungitius	Pungitius pungitius	Pungitius sinensis	Chordata	Actinopterygii	f4	−1.01E-4	4.18E-30	WGS	10.1098/rstb.2019.0548	DP	4/31/21	results, section c, 4th paragraph	multiple configurations	no	P					
